k lambda heuristic steps
1 1 18511.6 1001
1 0.1 17851.133333333335 8001
1 0.001 12071.666666666666 300001
1 0.00005 12102.866666666667 300001
1 0.00001 12042.8 300001
1 0.000001 12094.133333333333 300001
5 1 18818.866666666665 1001
5 0.1 17468.933333333334 8001
5 0.001 12062.4 300001
5 0.00005 12147.866666666667 300001
5 0.00001 12120.933333333332 300001
5 0.000001 12307.733333333334 300001
15 1 18822.6 1001
15 0.1 17809.666666666668 8001
15 0.001 12045.133333333333 300001
15 0.00005 12125.533333333333 300001
15 0.00001 12210.133333333333 300001
15 0.000001 13180 300001
25 1 18580.466666666667 1001
25 0.1 17658.866666666665 8001
25 0.001 12047.466666666667 300001
25 0.00005 12036.6 300001
25 0.00001 12439.6 300001
25 0.000001 14710.533333333333 300001
50 1 19022.866666666665 1001
50 0.1 17980.333333333332 8001
50 0.001 12107.333333333334 300001
50 0.00005 12194.066666666668 300001
50 0.00001 13018.533333333333 300001
50 0.000001 18619.866666666665 300001
100 1 19433.666666666668 1001
100 0.1 18982.066666666666 8001
100 0.001 12015.266666666666 300001
100 0.00005 12366.466666666667 300001
100 0.00001 14058.4 300001
100 0.000001 18864.866666666665 300001
150 1 19249.533333333333 1001
150 0.1 18944.266666666666 8001
150 0.001 12170.8 300001
150 0.00005 12556.733333333334 300001
150 0.00001 14779.533333333333 300001
150 0.000001 19651.933333333334 300001
300 1 19512.333333333332 1001
300 0.1 19804.2 8001
300 0.001 12271.2 300001
300 0.00005 12706.8 300001
300 0.00001 16699.133333333335 300001
300 0.000001 19856.666666666668 300001
